

This file contains example of DCW-calculation

SMILES:  c1c(ccc2c1/C(=N\O)/C(=N2)c1c[nH]c2c1cc(cc2)F)F
Set (+):   training +; invisible training -; calibration #
Number of structure 1
CAS  2
Number of Monte Carlo optimization probe 1
Threshold 4
SMILES is used in the model

ID is the number of SMILES attribute (SA) in global list of SA
CW(SA) is the correlation weight for SA
NT is the number of SA in training set
NiT is the number of SA in invisible training set
NC is the number of SA in calibration set

 Structural :            :     :     :     :    
  attribute :   CW(SA)   : ID  : NT  : NiT : NC 
    (SA)    :            :     :     :     :    

c...........:      0.4369:  189:   29:   29:    7
1...........:      0.1490:   38:   29:   29:    7
c...........:      0.4369:  189:   29:   29:    7
(...........:     -0.1750:   20:   29:   29:    7
c...........:      0.4369:  189:   29:   29:    7
c...........:      0.4369:  189:   29:   29:    7
c...........:      0.4369:  189:   29:   29:    7
2...........:     -0.3684:   46:   29:   29:    7
c...........:      0.4369:  189:   29:   29:    7
1...........:      0.1490:   38:   29:   29:    7
/...........:      0.1953:   32:   17:   11:    1
C...........:     -0.2385:   67:   29:   29:    7
(...........:     -0.1750:   20:   29:   29:    7
=...........:      0.0302:   55:   29:   29:    7
N...........:      0.1823:  129:   29:   29:    7
\...........:      1.4029:  168:   17:   11:    1
O...........:      0.0048:  149:   25:   25:    7
(...........:     -0.1750:   20:   29:   29:    7
/...........:      0.1953:   32:   17:   11:    1
C...........:     -0.2385:   67:   29:   29:    7
(...........:     -0.1750:   20:   29:   29:    7
=...........:      0.0302:   55:   29:   29:    7
N...........:      0.1823:  129:   29:   29:    7
2...........:     -0.3684:   46:   29:   29:    7
(...........:     -0.1750:   20:   29:   29:    7
c...........:      0.4369:  189:   29:   29:    7
1...........:      0.1490:   38:   29:   29:    7
c...........:      0.4369:  189:   29:   29:    7
c...........:      0.4369:  189:   29:   29:    7
2...........:     -0.3684:   46:   29:   29:    7
c...........:      0.4369:  189:   29:   29:    7
1...........:      0.1490:   38:   29:   29:    7
