LIST OF STRUCTURAL ATTRIBUTES (SA) AND THEIR CORRELATION WEIGHTS


The total number of SMILES: in train set NsmsTRN=  29  in calibration set NsmsCLB=   7 Nact=124 NactSFk=124

SMILES is used  in the model
ID is number of SA in the completed list of SAs
N1 is the number of SMILES in training set with SA
N2 is the number of SMILES in invisible training set with SA
N3 is the number of SMILES in calibration set with SA

The number of SMILES in training set is 29
The number of SMILES in calibration set is 7

TRN++ : how many times attribute is placed in structures
of the training set where endpoint higher than middle.
TRN-- : how many times attribute is placed in structures
of the training set where endpoint lower than middle.

iTRN++, iTRN--, CLB++, and CLB-- are the analogical data
for invisible training set and calibration set.

 SAk        : CW(SAk)    :        ID  :        N1  :        N2  :        N3  : DEFECT[SAk]: TRN++      : TRN--      : iTRN++     : iTRN--     : CALIB++    : CALIB--    :
#...........:     0.23958:           1:           5:           0:           1:      0.0049:           1:           4:           0:           0:           0:           1:
$10010000000:         0.0:           2:           0:           1:           0:      0.0000:           0:           0:           1:           0:           0:           0:
$10010000010:         0.0:           3:           1:           0:           0:      0.0000:           1:           0:           0:           0:           0:           0:
$10010000100:         0.0:           4:           0:           1:           0:      0.0000:           0:           0:           1:           0:           0:           0:
$10010001000:         0.0:           5:           1:           1:           0:      0.0000:           0:           1:           0:           1:           0:           0:
$10010001010:         0.0:           6:           0:           1:           0:      0.0000:           0:           0:           1:           0:           0:           0:
$10011000000:    -0.30780:           7:           9:          14:           3:      0.0099:           4:           5:           2:          12:           0:           3:
$10011000010:         0.0:           8:           1:           2:           0:      0.0000:           0:           1:           1:           1:           0:           0:
$10011000100:         0.0:           9:           1:           1:           1:      0.0000:           0:           1:           1:           0:           1:           0:
$10011000110:         0.0:          10:           1:           0:           0:      0.0000:           0:           1:           0:           0:           0:           0:
$10011001000:    -0.05827:          11:           7:           5:           0:      1.0000:           0:           7:           1:           4:           0:           0:
$10011001010:         0.0:          12:           1:           0:           0:      0.0000:           1:           0:           0:           0:           0:           0:
$10011001100:         0.0:          13:           0:           2:           0:      0.0000:           0:           0:           0:           2:           0:           0:
$10011100000:         0.0:          14:           1:           0:           2:      0.0000:           0:           1:           0:           0:           0:           2:
$10011100100:         0.0:          15:           1:           1:           0:      0.0000:           1:           0:           0:           1:           0:           0:
$11010000000:         0.0:          16:           1:           0:           0:      0.0000:           1:           0:           0:           0:           0:           0:
$11010001000:         0.0:          17:           1:           0:           0:      0.0000:           0:           1:           0:           0:           0:           0:
$11011000000:         0.0:          18:           3:           0:           1:      0.0000:           0:           3:           0:           0:           0:           1:
(...(.......:         0.0:          19:           3:           2:           2:      0.0000:           2:           1:           0:           2:           0:           2:
(...........:    -0.17502:          20:          29:          29:           7:      0.0000:           8:          21:           8:          21:           1:           6:
(...C...#...:     0.58792:          21:           5:           0:           1:      0.0049:           1:           4:           0:           0:           0:           1:
(...C...(...:    -0.61158:          22:          16:          23:           6:      0.0139:           6:          10:           7:          16:           1:           5:
(...F...(...:    -0.15961:          23:           8:           7:           0:      1.0000:           1:           7:           1:           6:           0:           0:
(...Br..(...:     0.90647:          24:           4:           3:           0:      1.0000:           2:           2:           2:           1:           0:           0:
(...Cl..(...:         0.0:          25:           3:           4:           1:      0.0000:           1:           2:           1:           3:           1:           0:
(...N...#...:    -0.63268:          26:           5:           0:           1:      0.0049:           1:           4:           0:           0:           0:           1:
(...N...(...:         0.0:          27:           0:           1:           0:      0.0000:           0:           0:           0:           1:           0:           0:
(...O...(...:         0.0:          28:           2:           1:           2:      0.0000:           1:           1:           0:           1:           0:           2:
(...S...(...:         0.0:          29:           0:           0:           1:      0.0000:           0:           0:           0:           0:           0:           1:
(...c...(...:     0.30043:          30:          12:          18:           5:      0.0177:           5:           7:           7:          11:           1:           4:
/...(.......:     0.68194:          31:          17:          11:           1:      0.0246:           3:          14:           1:          10:           0:           1:
/...........:     0.19530:          32:          17:          11:           1:      0.0246:           3:          14:           1:          10:           0:           1:
/...C...(...:     0.47785:          33:          17:          11:           1:      0.0246:           3:          14:           1:          10:           0:           1:
0...........:         0.0:          34:           1:           0:           0:      0.0000:           1:           0:           0:           0:           0:           0:
0...1...(...:         0.0:          35:           1:           0:           0:      0.0000:           1:           0:           0:           0:           0:           0:
1...(.......:     0.50061:          36:          22:          24:           5:      0.0016:           6:          16:           8:          16:           1:           4:
1...(.../...:         0.0:          37:           3:           1:           0:      0.0000:           0:           3:           1:           0:           0:           0:
1...........:     0.14897:          38:          29:          29:           7:      0.0000:           8:          21:           8:          21:           1:           6:
1.../.......:     0.11387:          39:          17:          11:           1:      0.0246:           3:          14:           1:          10:           0:           1:
1...0.......:         0.0:          40:           1:           0:           0:      0.0000:           1:           0:           0:           0:           0:           0:
1...C...(...:     0.95498:          41:          10:          17:           4:      0.0162:           4:           6:           7:          10:           1:           3:
1...F...(...:         0.0:          42:           1:           0:           0:      0.0000:           0:           1:           0:           0:           0:           0:
1...Cl..(...:         0.0:          43:           0:           1:           0:      0.0000:           0:           0:           1:           0:           0:           0:
1...c...(...:     0.61066:          44:          29:          29:           6:      0.0041:           8:          21:           8:          21:           1:           5:
2...(.......:     1.15547:          45:          29:          29:           7:      0.0000:           8:          21:           8:          21:           1:           6:
2...........:    -0.36835:          46:          29:          29:           7:      0.0000:           8:          21:           8:          21:           1:           6:
2...C...(...:    -0.45171:          47:           4:           0:           0:      1.0000:           0:           4:           0:           0:           0:           0:
2...C...1...:    -0.04751:          48:           8:          15:           3:      0.0139:           4:           4:           6:           9:           0:           3:
2...c...(...:     0.27470:          49:          16:          20:           6:      0.0139:           5:          11:           7:          13:           1:           5:
2...c...1...:    -0.26555:          50:          27:          28:           5:      0.0068:           7:          20:           8:          20:           1:           4:
