The evolution of correlations. The R is correlation coefficient; s is standard error
 No.:R2-sub :R2-clb :R2-tst : s-sub   : s-clb   : s-tst
   1: 0.6271: 0.6794: 0.2184:    0.142:    0.225:    0.304
   2: 0.6237: 0.7949: 0.3641:    0.142:    0.216:    0.252
   3: 0.6355: 0.7376: 0.5326:    0.140:    0.224:    0.219
   4: 0.6503: 0.7559: 0.5127:    0.137:    0.223:    0.222
   5: 0.6389: 0.7727: 0.5341:    0.140:    0.222:    0.218
   6: 0.6489: 0.7686: 0.5392:    0.138:    0.222:    0.216
   7: 0.6578: 0.7773: 0.5324:    0.136:    0.220:    0.218
   8: 0.6614: 0.7845: 0.5360:    0.135:    0.218:    0.218
   9: 0.6658: 0.7880: 0.5279:    0.134:    0.217:    0.219
  10: 0.6659: 0.7661: 0.5887:    0.134:    0.219:    0.206
  11: 0.6671: 0.7654: 0.5993:    0.134:    0.219:    0.203
  12: 0.6619: 0.7643: 0.6213:    0.135:    0.220:    0.201
  13: 0.6724: 0.7785: 0.5885:    0.133:    0.217:    0.207
  14: 0.6724: 0.7785: 0.5885:    0.133:    0.217:    0.207
  15: 0.6724: 0.7785: 0.5885:    0.133:    0.217:    0.207
  16: 0.6724: 0.7785: 0.5885:    0.133:    0.217:    0.207
  17: 0.6724: 0.7785: 0.5885:    0.133:    0.217:    0.207
  18: 0.6724: 0.7785: 0.5885:    0.133:    0.217:    0.207
  19: 0.6724: 0.7785: 0.5885:    0.133:    0.217:    0.207
  20: 0.6724: 0.7785: 0.5885:    0.133:    0.217:    0.207
  21: 0.6724: 0.7785: 0.5885:    0.133:    0.217:    0.207
  22: 0.6724: 0.7785: 0.5885:    0.133:    0.217:    0.207
  23: 0.6724: 0.7785: 0.5885:    0.133:    0.217:    0.207
  24: 0.6724: 0.7785: 0.5885:    0.133:    0.217:    0.207
  25: 0.6724: 0.7785: 0.5885:    0.133:    0.217:    0.207
