This file contains the statistical classification of structural attributes (SA)



SMILES is used in the model
The classification is follows:
- if SA has CW(SA)>0 in all probes of the Monte Carlo optimization
then the SA is a promoter of the Endpoint increase (List 1)
- if SA has CW(SA)<0 in all probes of the Monte Carlo optimization
then the SA is a promoter of the Endpoint decrease (List 2)
- if SA has CW(SA)>0 together with CW(SA)<0 
then the role of SA is undefined (list 3)
- if SA is blocked, i.e., CW(SA)=0 
then the SA without of the model (list 4)

Each list is starting by No.=1, the ID is the numbering in total list of attributes.

N1, N2, and N3 are numbers of SMILES which contain SA 
in training, invisible training, and calibration sets, respectively

  No. :  ID : SAk        : CWs Probe 1: CWs Probe 2: CWs Probe 3:        N1  :        N2  :        N3  : Defect[SAk]:
     1:   43:1...c...(...:     0.13163:     1.42771:     1.15819:          29:          29:           6:      0.0041
     2:   44:2...(.......:     0.55834:     1.85395:     0.87894:          29:          29:           7:      0.0000
     3:  195:c...1...c...:     0.28028:     0.98429:     0.89456:          29:          29:           7:      0.0000
     4:   49:2...c...1...:     0.37821:     0.44539:     1.26271:          27:          28:           6:      0.0022
     5:  178:c...(...2...:     1.00915:     2.01241:     3.95635:          26:          26:           6:      0.0012
     6:   35:1...(.......:     0.23890:     0.90336:     0.11198:          23:          23:           4:      0.0082
     7:  190:c...1...(...:     0.23990:     1.37691:     1.34047:          22:          23:           4:      0.0072
     8:  196:c...2...(...:     1.42258:     1.90724:     2.09194:          21:          23:           7:      0.0099
     9:   30:/...(.......:     1.24681:     1.42070:     1.64441:          17:          12:           3:      0.0079
    10:   32:/...C...(...:     1.04372:     0.14933:     1.37563:          17:          12:           3:      0.0079
    11:   38:1.../.......:     0.20049:     1.34677:     0.87296:          17:          12:           3:      0.0079
    12:   57:=...N...2...:     0.08209:     0.62988:     1.50170:          17:          12:           3:      0.0079
    13:   68:C.../.......:     1.30266:     0.64649:     1.22673:          17:          12:           3:      0.0079
    14:  128:N...2...(...:     0.15514:     1.58344:     2.49231:          17:          12:           3:      0.0079
    15:  130:N...=...(...:     1.12009:     1.15423:     0.49320:          17:          12:           3:      0.0079
    16:  166:\...........:     0.79548:     0.56330:     0.81598:          17:          12:           3:      0.0079
    17:  167:\...N.......:     1.43016:     0.65988:     1.42582:          17:          12:           3:      0.0079
    18:  168:\...N...=...:     0.33434:     1.55066:     0.47381:          17:          12:           3:      0.0079
    19:    7:$10011000000:     1.27195:     1.33545:     1.67291:          13:          11:           3:      0.0012
    20:   82:C...C.......:     0.18280:     1.03660:     0.24312:          13:          18:           4:      0.0072
    21:   62:C...(...1...:     2.17755:     1.96310:     3.34875:          12:          17:           2:      0.0091
    22:  221:n...........:     0.39857:     0.88310:     1.43171:          10:          16:           3:      0.0064
    23:  225:n...c.......:     0.09214:     1.06587:     0.80681:          10:          16:           3:      0.0064
    24:   85:C...C...=...:     0.65490:     0.30382:     0.16111:           9:          14:           2:      0.0022
    25:   90:C...c...1...:     1.11849:     0.37413:     0.74830:           9:           7:           3:      0.0099
    26:  101:F...........:     0.94393:     0.59119:     1.07100:           9:           7:           1:      0.0167
    27:  149:O...=.......:     0.70225:     0.83591:     0.13708:           9:           9:           2:      0.0022
    28:  141:O...(.../...:     0.92611:     4.62448:     6.67096:           8:           6:           2:      0.0010
    29:  169:\...O...(...:     1.70930:     4.28460:     7.56872:           8:           6:           2:      0.0010
    30:   63:C...(...2...:     0.81498:     1.58071:     0.98241:           7:          12:           5:      0.0394
    31:   77:C...=...(...:     0.04837:     0.06099:     0.89061:           7:          12:           2:      0.0049
    32:   24:(...Br..(...:     0.92713:     1.12584:     1.22128:           4:           3:           1:      0.0010
    33:   98:F...(...2...:     0.25374:     2.17872:     1.01232:           4:           3:           0:      1.0000
    34:  100:F...(...F...:     1.39081:     2.99660:     4.58086:           4:           3:           0:      1.0000
    35:  104:Br..(...2...:     0.43851:     1.36020:     1.37936:           4:           3:           1:      0.0010
    36:  107:Br..........:     0.39280:     0.44465:     1.15762:           4:           3:           1:      0.0010
    37:  172:[N+]........:     0.31963:     1.19678:     1.09733:           4:           5:           1:      0.0010
    38:  173:[O-]........:     1.64357:     2.78000:     3.96799:           4:           5:           1:      0.0010
    39:   25:(...Cl..(...:     1.34108:     1.07386:     1.39606:           3:           2:           1:      0.0099
    40:   36:1...(.../...:     0.35534:     1.40432:     4.43019:           3:           2:           0:      1.0000
    41:  108:Cl..(.......:     0.03640:     1.34471:     1.23059:           3:           3:           1:      0.0099
    42:  113:Cl..........:     0.98131:     2.04761:     2.18119:           3:           3:           1:      0.0099
    43:  116:HALO00100000:     1.20903:     0.10586:     1.03201:           3:           2:           0:      1.0000
    44:  143:O...(...2...:     2.30819:     3.05602:     0.96476:           3:           1:           2:      0.0365
    45:   27:(...O...(...:     1.78469:     0.32974:     3.32377:           2:           1:           1:      0.0246
    46:   61:C...(.../...:     0.29531:     0.10555:     1.61930:           2:           2:           0:      1.0000
    47:   80:C...=...C...:     0.80695:     2.81765:     4.22978:           2:           2:           0:      1.0000
    48:  110:Cl..(...1...:     0.68318:     0.64205:     2.40706:           2:           3:           1:      0.0246
    49:  117:HALO01000000:     2.61040:     3.38481:     6.02419:           2:           3:           0:      1.0000
    50:  126:N...(...C...:     1.22915:     1.04175:     2.23450:           2:           7:           3:      0.0719
    51:  160:NOSP11100000:     0.33708:     1.28422:     1.15085:           2:           1:           1:      0.0246
    52:  161:S...(.......:     0.66612:     0.25492:     1.78341:           2:           1:           1:      0.0246
    53:  162:S...(...=...:     0.04215:     1.52820:     0.90064:           2:           1:           1:      0.0246
    54:  163:S...........:     1.03946:     0.89782:     0.84468:           2:           1:           1:      0.0246
    55:    2:$10010000000:     0.52979:     0.58555:     1.86661:           1:           0:           0:      1.0000
    56:    9:$10011000100:     1.28201:     0.94761:     1.80090:           1:           2:           0:      1.0000
    57:   12:$10011001010:     1.35113:     0.48708:     1.33310:           1:           0:           0:      1.0000
    58:   15:$10011100100:     2.03733:     1.93044:     4.68819:           1:           0:           0:      1.0000
    59:  111:Cl..(...C...:     0.76141:     2.12227:     5.14166:           1:           1:           0:      1.0000
    60:  120:HALO10100000:     1.17071:     0.63166:     1.02482:           1:           1:           0:      1.0000
    61:  134:N...C...1...:     0.52897:     0.45214:     1.59641:           1:           2:           1:      0.0542
    62:  150:O...=...1...:     1.27310:     0.96630:     2.59055:           1:           2:           1:      0.0542
    63:  154:O...C...C...:     0.84493:     0.91330:     1.32060:           1:           3:           1:      0.0542
    64:  158:NOSP10000000:     1.37373:     1.17567:     2.79282:           1:           4:           2:      0.0837
    65:  182:c...(...Cl..:     2.08386:     3.35690:     4.57340:           1:           0:           0:      1.0000
    66:  202:c...C...(...:     1.09689:     1.11819:     2.19144:           1:           2:           1:      0.0542
    67:  204:c...C...2...:     0.71839:     1.23591:     0.65811:           1:           2:           1:      0.0542
    68:  222:n...2.......:     1.18903:     0.92839:     1.69812:           1:           2:           1:      0.0542
    69:  226:n...c...1...:     0.97344:     1.00116:     1.67588:           1:           2:           1:      0.0542
     1:   92:BOND10000000:    -0.36473:    -0.67724:    -0.32239:          29:          24:           5:      0.0084
     2:  187:c...........:    -0.06230:    -0.43739:    -0.11040:          29:          29:           7:      0.0000
     3:  216:c...c...c...:    -0.82571:    -0.06009:    -0.46945:          29:          29:           7:      0.0000
     4:  175:[nH]........:    -0.31261:    -0.46029:    -0.02233:          28:          27:           6:      0.0032
     5:   53:=...(.......:    -0.10986:    -0.61161:    -0.37841:          27:          27:           7:      0.0020
     6:  140:O...(.......:    -0.52908:    -0.48091:    -0.01663:          19:          19:           4:      0.0036
     7:   22:(...C...(...:    -1.16880:    -0.46186:    -0.68729:          18:          21:           5:      0.0041
     8:  152:O...C.......:    -0.28675:    -0.50748:    -0.40475:          18:          15:           3:      0.0091
     9:  177:c...(...1...:    -0.74880:    -0.21911:    -0.41830:          13:          18:           3:      0.0012
    10:   29:(...c...(...:    -0.84963:    -0.20901:    -0.09840:          12:          17:           3:      0.0010
    11:  179:c...(...C...:    -0.21053:    -0.06145:    -0.27642:          11:          15:           3:      0.0035
    12:  224:n...c...(...:    -0.42708:    -0.17550:    -0.78094:          10:          16:           3:      0.0064
    13:   47:2...C...1...:    -1.12594:    -0.33631:    -0.58308:           9:          14:           2:      0.0022
    14:   65:C...(...C...:    -2.21294:    -0.34990:    -0.36012:           9:           8:           2:      0.0022
    15:   88:C...N...C...:    -1.08243:    -1.17592:    -0.04092:           9:          14:           2:      0.0022
    16:   89:C...O...(...:    -0.07572:    -0.32678:    -0.31260:           9:           9:           2:      0.0022
    17:  119:HALO10000000:    -0.72574:    -0.56223:    -0.41542:           7:           6:           1:      0.0123
    18:  142:O...(...1...:    -0.58481:    -0.35923:    -0.63788:           7:           6:           0:      1.0000
    19:  151:O...C...(...:    -0.10886:    -0.76084:    -0.41232:           6:           6:           1:      0.0091
    20:   97:F...(...1...:    -0.99179:    -0.34546:    -1.00786:           4:           3:           1:      0.0010
    21:  184:c...(...O...:    -0.53637:    -0.73501:    -0.64590:           3:           1:           1:      0.0099
    22:   46:2...C...(...:    -0.66831:    -1.32357:    -3.00052:           2:           1:           0:      1.0000
    23:   99:F...(...C...:    -0.75862:    -0.64711:    -0.29365:           2:           3:           0:      1.0000
    24:   13:$10011001100:    -0.64376:    -0.53788:    -3.01055:           1:           0:           0:      1.0000
    25:   70:C...1...(...:    -0.92312:    -1.28378:    -2.19661:           1:           0:           0:      1.0000
    26:  109:Cl..(.../...:    -0.54486:    -0.51892:    -0.32000:           1:           1:           1:      0.0542
    27:  121:HALO11000000:    -0.15714:    -2.17001:    -0.80856:           1:           0:           0:      1.0000
    28:  125:N...(...2...:    -0.44158:    -0.40816:    -1.92200:           1:           0:           0:      1.0000
    29:  132:N...C...(...:    -0.96281:    -0.21185:    -1.34233:           1:           0:           0:      1.0000
    30:  153:O...C...1...:    -0.51507:    -1.71066:    -1.07902:           1:           0:           0:      1.0000
